original_filename,folder,relative_folder,suggested_filename,product,category,story_role,simple_description,primary_action,shot_type,hook_score,demo_score,reveal_score,broll_score,visual_interest_score,best_use,tags
IMG_4014.mov,1200,1200,1200gsm-heavy-duty-towel-drying-wet-car-window.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying wet car window with towel,wiping window,demo,6,8,5,6,7,demonstrate drying solution,"car, drying, towel, window, cleaning, wet"
IMG_4015.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demonstration.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Wiping water droplets off car glass,wiping glass,demo,6,8,7,5,7,demonstrating drying effect on glass,"car, drying, glass, cleaning, water droplets, towel"
IMG_4016.mov,1200,1200,heavy-duty-towel-drying-windshield.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying windshield with heavy duty towel,drying windshield,demo,6,8,5,6,7,demonstrates drying step using towel,"car, drying, towel, windshield, water droplets, cleaning"
IMG_4017.mov,1200,1200,rain-drops-on-windshield-1200gsm-towel.mov,1200gsm Heavy Duty Drying Towel,drying,problem,Water droplets on car windshield,show droplets,hook,7,2,3,6,6,hook or establishing shot for drying problem,"water,droplets,windscreen,car,wet,rain"
IMG_4018.mov,1200,1200,1200gsm-heavy-duty-towel-drying-windshield.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying wet windshield with heavy towel,drying windshield,demo,6,8,7,6,7,demonstrate drying performance and texture,"windshield,drying,towel,water,car,cleaning,wet"
IMG_4019.mov,1200,1200,heavy-duty-towel-drying-car-window.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Heavy duty towel drying car window,drying window surface,demo,6,8,7,6,7,solution,"car, drying towel, window, water droplets, cleaning, drying"
IMG_4020.mov,1200,1200,1200gsm-heavy-duty-drying-towel-wet-car-surface.mov,1200gsm Heavy Duty Drying Towel,drying,problem,Water droplets on car surface,show water beads,hook,8,2,1,5,7,as a hook showing water on car,"water droplets,car surface,wet,1200gsm towel,drying problem"
IMG_4021.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demonstration.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel absorbing water quickly,towel drying car surface,demo,7,9,8,6,8,demonstrating drying towel effectiveness,"drying,towel,car-care,water-absorption,cleaning"
IMG_4038.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo-result.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car window with heavy-duty towel,drying car window,demo,7,8,7,6,7,solution or drying demo,"drying,car,window,heavy duty towel,cleaning,wet,water droplets"
IMG_4039.mov,1200,1200,heavy-duty-drying-towel-wiping-water-off-car.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Wiping water off car surface,wiping water,demo,6,8,7,6,7,show product use for drying,"car, drying, water, towel, wiping, cleaning"
IMG_4040.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Using towel to dry car surface,drying car,demo,5,9,7,6,7,clear demonstration of drying product use,"car, drying, towel, wet, water droplets, close up"
IMG_4041.mov,1200,1200,1200gsm-heavy-duty-towel-drying-demonstration.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel removes water droplets,drying car surface,demo,6,8,7,6,7,showcase drying effectiveness,"drying,towel,car,water,clean,detail,product,demonstration"
IMG_4042.mov,1200,1200,drying-1200gsm-heavy-duty-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car roof with towel,drying,demo,7,9,8,7,8,demonstrate towel drying effectiveness,"car, drying, towel, heavy duty, water, clean, wipe"
IMG_4043.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car with heavy duty towel,drying car surface,demo,6,8,5,7,7,Showcase towel drying action,"car, drying, towel, heavy duty, wet, water droplets"
IMG_4044.mov,1200,1200,1200gsm-heavy-duty-drying-towel-use.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car window with towel,drying,demo,6,8,5,6,7,demonstrate product use for drying,"car, drying, towel, window, 1200gsm, heavy duty, cleaning"
IMG_4045.mov,1200,1200,wet-car-panel-drying-1200gsm-towel.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car panel with towel,wiping car panel,demo,6,8,7,5,7,demonstrate drying the car surface,"drying,towel,car,wet,surface,cleaning,detail"
IMG_4046.mov,1200,1200,1200gsm-heavy-duty-drying-towel-showcase.mov,1200gsm Heavy Duty Drying Towel,drying,product_showcase,Wet black car rear close-up,show wet surface,broll,4,2,3,8,6,broll to set context of drying need,"wet, black car, rear, close-up, droplets"
IMG_4047.mov,1200,1200,heavy-duty-drying-towel-effect-on-car.mov,1200gsm Heavy Duty Drying Towel,drying,result,Water beads on car surface drying,drying car surface,reveal,6,5,7,5,7,result,"car, water, drying, towel, 1200gsm, heavy-duty, exterior, shine"
IMG_4048.mov,1200,1200,1200gsm-towel-drying-trim.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car trim with heavy duty towel,wiping trim surface,demo,6,8,5,7,7,demonstrating towel effectiveness,"drying,towel,car,detailing,trim,wet,water"
IMG_4049.mov,1200,1200,1200gsm-heavy-duty-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying wet rear car panel,drying car surface,demo,6,8,7,6,7,demonstrating product drying effectiveness,"drying,towel,car wash,water droplets,detail"
IMG_4050.mov,1200,1200,1200gsm-drying-towel-removes-water-droplets.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Towel removing water droplets,wiping car surface,demo,6,8,7,5,7,demonstrating drying towel effectiveness,"car wash,drying,towel,water removal,cleaning"
IMG_4051.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car door with drying towel,drying car door,demo,6,8,5,6,7,product use demonstration,"car,drying,towel,water,wet,surface,cleaning"
IMG_4052.mov,1200,1200,1200gsm-drying-towel-wiping-water.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying towel wiping water droplets,wiping car surface,demo,6,8,7,6,7,shows product use clearly,"car, water droplets, drying, towel, cleaning, demo, car detail"
IMG_4053.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car hood with towel,drying car hood,demo,6,8,5,7,7,to show product in action drying,"car, hood, drying towel, water droplets, cleaning"
IMG_4054.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demonstration.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car with heavy duty towel,drying car surface,demo,6,8,7,6,7,demonstrate towel efficiency on wet car surface,"drying,towel,car,wet,heavy duty,1200gsm"
IMG_4055.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demonstration.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying towel clears water drops,drying car surface,demo,7,9,8,6,7,demonstrate drying towel effectiveness,"drying,towel,car,water,droplets,clean,cloth,1200gsm"
IMG_4056.mov,1200,1200,water-beads-on-car-1200gsm-towel.mov,1200gsm Heavy Duty Drying Towel,drying,problem,Water beads on car surface,show water beads,hook,7,2,3,5,6,opening problem shot,"water, droplets, car, paint, beads, detail, drying"
IMG_4057.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel removing water droplets,wiping water droplets,demo,7,9,7,6,7,Show product in use drying car surface,"drying,towel,car,water-removal,clean,wet"
IMG_4058.mov,1200,1200,1200gsm-heavy-duty-drying-towel-water-beading.mov,1200gsm Heavy Duty Drying Towel,drying,result,Water beading on car surface,showing water beads,reveal,7,5,8,6,8,Showcasing water-repellent effect after drying,"water beads,car paint,wet surface,drying towel,result,clean car,close up"
IMG_4059.mov,1200,1200,heavy-duty-drying-towel-water-beading-and-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Water beading and drying demonstration,drying car surface,demo,6,9,7,6,7,Demonstrate the heavy-duty towel drying power,"car, drying, water beading, towel, cleaning, black car, close-up"
IMG_4060.mov,1200,1200,heavy-duty-towel-quick-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Using towel to dry car side,drying car surface,demo,7,8,6,7,7,Demonstrating product use drying car,"drying,towel,car,cleaning,product demo,reflection,water droplets"
IMG_4061.mov,1200,1200,cleaning-car-door-with-1200gsm-towel.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Using heavy duty towel on car door,wiping car surface,demo,6,8,7,5,7,demonstrating towel use and effect,"drying,towel,car cleaning,heavy duty,car door,water droplets"
IMG_4062.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel removing water drops,wiping car window,demo,7,8,6,7,7,demonstrating product effectiveness,"drying,towel,water,drops,car,window,cleaning"
IMG_4063.mov,1200,1200,1200gsm-drying-towel-remove-water-mist.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying rear window with towel,drying car window,demo,6,8,7,5,7,demonstrate drying effectiveness,"drying,towel,car-window,water-removal,cleaning"
IMG_4064.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Using towel to dry wet car surface,drying car surface,demo,6,9,8,7,7,demonstrating drying towel effectiveness,"car, drying, towel, water droplets, cleaning, 1200gsm, heavy duty"
IMG_4090 2.mov,1200,1200,1200gsm-heavy-duty-drying-towel-package.mov,1200gsm Heavy Duty Drying Towel,drying,product_showcase,Packaging of heavy duty drying towel,show packaging,product_shot,7,2,1,6,6,introducing product pack,"drying towel, packaging, product showcase, car care"
IMG_6637.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Car being dried with towel,drying car surface,demo,5,8,6,5,6,demonstrate drying product effectiveness,"car, drying, towel, water removal, clean car, black car"
IMG_6643.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Demonstrating water pickup and drying,wiping water,demo,6,8,7,6,7,Clear demo of drying towel effectiveness,"drying, towel, water, car, demo, 1200gsm, heavy-duty"
IMG_6644.MOV,1200,1200,1200gsm-heavy-duty-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel absorbing water droplets,drying water droplets,demo,6,8,7,6,7,demonstrate drying towel effectiveness,"drying towel, water droplets, car hood, absorb water, towel texture, vehicle care"
IMG_6645.MOV,1200,1200,1200gsm-heavy-duty-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car roof with towel,drying,demo,6,8,7,6,7,showing drying towel in action,"car,drying,towel,1200gsm,heavy-duty,cleaning"
IMG_7974.MOV,1200,1200,1200gsm-drying-towel-demo-move-water.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel removes water from car,dry water droplets,demo,6,8,7,6,7,demonstrates drying action and towel use,"drying,towel,car,water,removal,cleaning"
IMG_7975.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car hood with towel,drying,demo,6,8,7,5,7,demonstrate drying process and effectiveness,"drying,towel,car,cleaning,detail,wet,water"
IMG_7976.MOV,1200,1200,1200gsm-heavy-duty-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car hood with towel,drying car surface,demo,6,8,7,5,7,demonstrates product drying use clearly,"car, drying, towel, 1200gsm, heavy duty, cleaning"
IMG_7980.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car door with towel,drying,demo,7,8,6,6,7,demonstrates towel drying use clearly,"car, drying, towel, demo, cleaning, 1200gsm, heavy duty"
IMG_7983.MOV,1200,1200,1200gsm-heavy-duty-towel-drying-demonstration.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car with 1200gsm towel,drying car surface,demo,7,8,6,5,7,solution in drying tutorial,"drying,towel,heavy-duty,car,cleaning,detail"
IMG_7984.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Using towel to dry wet car surface,drying car,demo,6,9,7,6,7,Demonstrating drying towel effectiveness,"towel, drying, car wash, wet car, 1200gsm, heavy duty, microfiber"
IMG_9018.mov,1200,1200,1200gsm-heavy-duty-drying-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Car drying with 1200gsm towel,drying car door,demo,6,9,7,7,7,solution video showing towel use,"car drying,towel,wet car,cleaning,auto detailing,1200gsm"
800 Great.mov,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Drying wet car surface with towel,drying car,demo,6,9,8,7,7,solution,"car, drying, towel, 800gsm, wet, surface, demo"
800 bonnet.mov,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,solution,Drying towel removes water droplets,drying car hood,demo,6,8,7,6,7,demonstrate product drying power,"drying,towel,car cleaning,water droplets,car hood"
800 pass window.mov,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Drying car with XL towel,drying car surface,demo,6,8,5,7,7,demonstrate towel drying use,"drying,towel,car,water,cleaning,exterior"
800 rear window.mov,800,800,800gsm-xl-drying-towel-drying-rear-window.mov,800gsm XL Drying Towel,drying,solution,Drying rear window with towel,drying,demo,5,8,6,7,6,demonstrate drying the rear window,"drying,towel,car,window,cleaning"
800 roof.mov,800,800,water-beading-on-car-roof.mov,800gsm XL Drying Towel,drying,problem,Water beading on car roof,show water droplets,hook,7,2,4,6,7,opening hook to show water beading problem,"car, water, beading, roof, droplets, detailing"
IMG_0106.mov,800,800,800gsm-xl-drying-towel-wiping-hoody.mov,800gsm XL Drying Towel,drying,solution,Removing water with XL drying towel,wiping water,demo,6,8,7,6,7,demonstrate drying effectiveness,"drying,towel,water,car,cleaning,wiper,detail"
IMG_0108.mov,800,800,,,,,ERROR: Expecting value: line 1 column 1 (char 0),,,,,,,,,
IMG_0109.mov,800,800,800gsm-xl-drying-towel-demo-and-result.mov,800gsm XL Drying Towel,drying,solution,Drying towel removing water droplets,drying car roof,demo,7,8,7,6,7,demonstrate drying and water bead removal,"car, drying, towel, water droplets, clean, shine"
IMG_0110.mov,800,800,800gsm-xl-drying-towel-absorbing-water.mov,800gsm XL Drying Towel,drying,demo,Towel absorbing water from car roof,drying car,demo,6,8,7,6,7,solution,"drying,towel,car,water,absorb,clean"
IMG_0112.mov,800,800,800gsm-xl-drying-towel-demonstration.mov,800gsm XL Drying Towel,drying,solution,Using drying towel on wet car,drying car surface,demo,6,8,7,6,7,demonstrating product use and effectiveness,"car, drying, towel, water, cleaning, detailing, product use"
IMG_1207.MOV,800,800,800gsm-drying-towel-wet-to-dry-back-window.mov,800gsm XL Drying Towel,drying,result,Wet window drying transformation,drying glass,reveal,6,7,8,6,7,show drying result on rear window,"drying,towel,car window,water,cleaning,wet,drying towel"
IMG_1209.MOV,800,800,water-beads-on-car-window.mov,800gsm XL Drying Towel,drying,problem,Water beads on dirty car window,show water beads,hook,8,2,3,7,7,hook,"car, window, water, beads, droplets, detail, problem, drying"
IMG_1210.MOV,800,800,drying-towel-demonstration-clean-shiny-car.mov,800gsm XL Drying Towel,drying,solution,drying car with XL towel,drying car surface,demo,7,9,8,6,7,solution clip showing towel use and result,"drying,towel,car,clean,wet,detail,reflection,shiny"
IMG_1211.MOV,800,800,800gsm-xl-drying-towel-drying-demo.mov,800gsm XL Drying Towel,drying,demo,Drying water droplets on car trim,drying car trim,demo,6,8,7,6,7,demonstrating effective drying,"car, drying, towel, water, droplets, trim, cleaning, detailing"
IMG_1214.MOV,800,800,800gsm-xl-drying-towel-wiping-car-hood.mov,800gsm XL Drying Towel,drying,demo,Wiping water off car hood,wiping,demo,6,8,7,5,6,showing water absorption and drying efficacy,"drying,towel,car cleaning,water removal,demonstration,car hood"
IMG_1216.MOV,800,800,800gsm-xl-drying-towel-window-drying.mov,800gsm XL Drying Towel,drying,solution,Using towel to dry wet car window,drying window,demo,5,8,7,6,6,product-use demonstration,"car, drying, towel, window, water, cleaning"
IMG_1218.MOV,800,800,800gsm-xl-drying-towel-demonstration.mov,800gsm XL Drying Towel,drying,demo,Drying car door with XL towel,drying car surface,demo,7,9,6,7,8,solution,"drying,towel,car detailing,wet car,clean car,car care"
IMG_1219.MOV,800,800,800gsm-xl-towel-drying-demo.mov,800gsm XL Drying Towel,drying,solution,Drying wet car surface,dry car with towel,demo,7,9,8,6,7,demonstrate drying with XL towel,"drying,towel,car wash,wet car,reflection,cleaning"
IMG_1220.MOV,800,800,800gsm-xl-towel-drying-demo.mov,800gsm XL Drying Towel,drying,demo,Using towel to dry car surface,drying car,demo,6,9,7,6,7,demo,"car,drying,towel,800gsm,xl,detailed,wet,clean"
IMG_1326.mov,800,800,800gsm-xl-drying-towel-demonstration.mov,800gsm XL Drying Towel,drying,solution,Using towel to dry wet car,drying car surface,demo,6,9,7,6,7,Demonstrate drying with towel,"drying,towel,car,wet,cleaning,detailing"
